dateid01,dateid,x,y,z
1900-01-01,1900-01-31 23:59:59.999,0,0,0
1900-02-01,1900-02-28 23:59:59.999,2.6444035480413488,-0.72337056375335344,2.5382932496016036
1900-03-01,1900-03-31 23:59:59.999,3.4399340066569776,2.1420957763400084,2.2273746644854112
1900-04-01,1900-04-30 23:59:59.999,3.6157876303187976,4.4931117959290144,4.7675498721066664
1900-05-01,1900-05-31 23:59:59.999,4.7645646854403488,5.0885691607573664,4.0519687437931896
1900-06-01,1900-06-30 23:59:59.999,5.636362217209896,6.8153965985980776,4.7969270477431776
1900-07-01,1900-07-31 23:59:59.999,5.8725746379914864,6.9548501901191928,3.6111177852580336
1900-08-01,1900-08-31 23:59:59.999,6.61578163484908,6.241970978385364,8.4487549015936128
1900-09-01,1900-09-30 23:59:59.999,6.3409769838226904,4.9967633367204872,10.048424641707028
1900-10-01,1900-10-31 23:59:59.999,5.8706811665854016,3.452950149311646,8.791644518890344
1900-11-01,1900-11-30 23:59:59.999,5.9056689254241984,4.6573398037648224,5.7398138619615072
1900-12-01,1900-12-31 23:59:59.999,6.8925090589300248,2.3575028283338656,4.5678326092288632
1901-01-01,1901-01-31 23:59:59.999,4.8716191557450232,3.0405307786163876,0.3439179607641698
1901-02-01,1901-02-28 23:59:59.999,0.6097805924589452,3.5090431358080544,2.969100982301046
1901-03-01,1901-03-31 23:59:59.999,3.5960880673322296,2.661662646119372,2.2523744259282008
1901-04-01,1901-04-30 23:59:59.999,1.1316897578121078,5.7236233562404096,-1.6966429298818558
1901-05-01,1901-05-31 23:59:59.999,2.5901073592850244,6.5617691489667728,3.422013329462616
1901-06-01,1901-06-30 23:59:59.999,5.336580081960796,4.6447317216300128,4.902250563976048
1901-07-01,1901-07-31 23:59:59.999,5.389865176033592,5.1975416722464504,5.4807567586938592
1901-08-01,1901-08-31 23:59:59.999,3.6158410007881008,4.9386725437412968,2.2560163234351264
1901-09-01,1901-09-30 23:59:59.999,5.5040689552821832,7.2995446488463792,0.4976587554066936
1901-10-01,1901-10-31 23:59:59.999,5.667776632599676,5.9734642046438328,5.8499674813082336
1901-11-01,1901-11-30 23:59:59.999,3.561310198807356,4.8709017258006624,4.8489780496236072
1901-12-01,1901-12-31 23:59:59.999,-0.032822078970055292,5.0408591552596808,4.9026690361706832
1902-01-01,1902-01-31 23:59:59.999,1.5651627278982692,7.2425544740639808,8.429090596351688
1902-02-01,1902-02-28 23:59:59.999,0.10912720733621706,6.9247333856693808,7.1579850282742416
1902-03-01,1902-03-31 23:59:59.999,-0.40973449851885768,10.423315924732808,10.856225195188118
1902-04-01,1902-04-30 23:59:59.999,-0.27282229360339484,9.3155924412600368,11.51023088781423
1902-05-01,1902-05-31 23:59:59.999,0.72843938589778896,7.2418253790383536,9.2087667725588048
1902-06-01,1902-06-30 23:59:59.999,2.4380066677768588,6.865109428220092,7.5447351456057984
1902-07-01,1902-07-31 23:59:59.999,1.1877136169297468,6.6543552227542968,10.958584823786314
1902-08-01,1902-08-31 23:59:59.999,-0.12759967989872756,3.2574868081140348,11.645587289434328
1902-09-01,1902-09-30 23:59:59.999,0.49111444999565576,3.8784120911847456,12.712433821356428
1902-10-01,1902-10-31 23:59:59.999,-1.5278469169829228,4.5947708123930608,16.119735596449058
1902-11-01,1902-11-30 23:59:59.999,-0.45430429266692048,6.1314323130537808,17.263440935447662
1902-12-01,1902-12-31 23:59:59.999,-0.74317585220846704,4.3472863419894136,17.995708087000502
1903-01-01,1903-01-31 23:59:59.999,-0.0083220950069903264,1.9746321939610176,20.596425840529364
1903-02-01,1903-02-28 23:59:59.999,2.33521888589863,3.5226403641648884,20.741105902738624
1903-03-01,1903-03-31 23:59:59.999,0.91791631665448656,3.1582656275362476,21.206223110754908
1903-04-01,1903-04-30 23:59:59.999,3.3734032644150684,2.105798312139652,22.84427021942974
1903-05-01,1903-05-31 23:59:59.999,3.16646112854114,2.577751097062932,29.521487287385672
1903-06-01,1903-06-30 23:59:59.999,0.51268994790099584,2.4663952732409156,26.81469358824566
1903-07-01,1903-07-31 23:59:59.999,-0.61338319606718648,7.7354757785131968,24.977262122353876
1903-08-01,1903-08-31 23:59:59.999,3.1808235106564284,7.6588477908166624,22.971653862547548
1903-09-01,1903-09-30 23:59:59.999,4.8470790259500504,11.11561051339541,25.807012692298236
1903-10-01,1903-10-31 23:59:59.999,6.2383986882674056,8.6597123772158976,28.191407267760292
1903-11-01,1903-11-30 23:59:59.999,5.0308429486857096,9.1772794593986176,26.090591237201764
1903-12-01,1903-12-31 23:59:59.999,4.885859366379412,6.2182267144151832,22.779351913937912
