dateid01,dateid,y,z
1900-01-01,1900-01-31 23:59:59.999,0,0
1900-02-01,1900-02-28 23:59:59.999,0,-0.6985083753540896
1900-03-01,1900-03-31 23:59:59.999,-0.14296525291320574,0.29089223846049904
1900-04-01,1900-04-30 23:59:59.999,0.6274690879792432,0.41841625350517176
1900-05-01,1900-05-31 23:59:59.999,0.40767765501670728,2.434993650054778
1900-06-01,1900-06-30 23:59:59.999,-0.2387504008389028,1.2499661480242274
1900-07-01,1900-07-31 23:59:59.999,-1.5630985753179138,-0.44752481544888232
1900-08-01,1900-08-31 23:59:59.999,-1.4049019235984074,-0.60126136830521216
1900-09-01,1900-09-30 23:59:59.999,0.73728739715629904,-0.82575751895647808
1900-10-01,1900-10-31 23:59:59.999,2.1398962470106872,-1.3838705910611018
1900-11-01,1900-11-30 23:59:59.999,1.7946018329672616,0.074130022056854368
1900-12-01,1900-12-31 23:59:59.999,2.274257753458726,-0.36274464357874256
1901-01-01,1901-01-31 23:59:59.999,3.3764786893785112,-0.35142349234833948
1901-02-01,1901-02-28 23:59:59.999,2.2597284792581256,-0.10390984843779416
1901-03-01,1901-03-31 23:59:59.999,0.0025094631648927556,-0.47003839289471576
1901-04-01,1901-04-30 23:59:59.999,-0.98720510083239264,0.120358422369162
1901-05-01,1901-05-31 23:59:59.999,0.91715122835566592,0.1121367790722676
1901-06-01,1901-06-30 23:59:59.999,1.8234728787057516,0.400022572093636
1901-07-01,1901-07-31 23:59:59.999,2.3555560517700072,2.0351543021166332
1901-08-01,1901-08-31 23:59:59.999,0.85592278973274928,0.2889311705334814
1901-09-01,1901-09-30 23:59:59.999,1.0132570005404548,-0.69576480567681664
1901-10-01,1901-10-31 23:59:59.999,1.071272683501809,1.9464563034132328
1901-11-01,1901-11-30 23:59:59.999,0.59471550373133176,1.5738134625686966
1901-12-01,1901-12-31 23:59:59.999,0.4819576692103264,2.384044797818594
1902-01-01,1902-01-31 23:59:59.999,2.354617465270838,2.0831124609020204
1902-02-01,1902-02-28 23:59:59.999,4.6996289765264664,2.435560451165352
1902-03-01,1902-03-31 23:59:59.999,4.284458751302948,-0.67024455170496776
1902-04-01,1902-04-30 23:59:59.999,3.7584284137830248,-0.47073299473758016
1902-05-01,1902-05-31 23:59:59.999,1.7696897594404782,0.087184533323968256
1902-06-01,1902-06-30 23:59:59.999,-1.3199974794083226,-0.12751987950534588
1902-07-01,1902-07-31 23:59:59.999,-2.7637100813533184,1.6469415994992648
1902-08-01,1902-08-31 23:59:59.999,-1.0840476845552014,0.70139415811632408
1902-09-01,1902-09-30 23:59:59.999,-0.21648341181835696,0.8716338554361304
1902-10-01,1902-10-31 23:59:59.999,-0.29231782869267968,1.3760075196030786
1902-11-01,1902-11-30 23:59:59.999,1.0950217480774854,1.6333384105592632
1902-12-01,1902-12-31 23:59:59.999,1.3357092242753142,1.7013835019482882
1903-01-01,1903-01-31 23:59:59.999,0.91509793012767696,0.22431183740053016
1903-02-01,1903-02-28 23:59:59.999,0.12225554439167796,1.4429258737103372
1903-03-01,1903-03-31 23:59:59.999,0.37613773953512632,1.1492008247881398
1903-04-01,1903-04-30 23:59:59.999,0.088293951819114864,0.2634179598895398
1903-05-01,1903-05-31 23:59:59.999,-0.8191089279258568,0.24276989099161868
1903-06-01,1903-06-30 23:59:59.999,-0.74886762857340128,0.43412276520988416
1903-07-01,1903-07-31 23:59:59.999,-0.68328102895618712,0.35379219895420204
1903-08-01,1903-08-31 23:59:59.999,1.4473703492867354,-0.06944886952183624
1903-09-01,1903-09-30 23:59:59.999,0.91647120295794656,0.59186791986280208
1903-10-01,1903-10-31 23:59:59.999,1.1380854143472038,-0.67653360584654856
1903-11-01,1903-11-30 23:59:59.999,2.4906178963378304,-0.092235414421398432
